Constraints,Bt + Bu,Bt + Ec,Bt + Fn,Bt + Ri,Bt + Sp,Bt + Ss
33 uM Fe,8.81631606225922e-07,5.328596802841919e-06,5.328596802841919e-06,2.356738844769468e-06,5.328596802841919e-06,3.552397868561279e-06
0 uM Fe/H,0.0,0.0,0.0,0.0,0.0,0.0
"0,7 uM H; 8,2 uM Fe",2.190720960925019e-07,2.260616825448087e-07,1.1303084127240433e-07,2.260616825448087e-07,6.342762907522516e-08,1.1303084127240433e-07
"2,7 uM H; 33 uM Fe",8.81631606225922e-07,8.71952204101405e-07,4.359761020507025e-07,8.71952204101405e-07,2.446494264330114e-07,4.359761020507024e-07
"2,7 uM H",8.71952204101405e-07,8.71952204101405e-07,4.359761020507025e-07,8.71952204101405e-07,2.446494264330114e-07,4.359761020507024e-07
125 uM Fe,3.3395136599466746e-06,2.018407879864363e-05,2.018407879864363e-05,8.927041078672227e-06,2.018407879864363e-05,1.3456052532429088e-05
125 uM H,4.036815759728726e-05,4.036815759728726e-05,2.018407879864363e-05,4.036815759728726e-05,1.1326362334861638e-05,2.018407879864363e-05
125 uM H; 2 mM Fe,4.036815759728726e-05,4.036815759728726e-05,2.018407879864363e-05,4.036815759728726e-05,1.1326362334861638e-05,2.018407879864363e-05
125 uM H; 125 uM Fe,3.3395136599466746e-06,2.018407879864363e-05,2.018407879864363e-05,8.927041078672229e-06,1.1326362334861638e-05,1.3456052532429088e-05
No constraints,0.0002044708119859,0.0003697298473531,0.0003697298473531,0.0003697298473531,0.0003697298473531,0.0003697298473531
